Date,Restaurant Name,Range (min - max),Minimum spending per person (RM),Maximum spending per person (RM),Dining tag,Halal Status,Cuisine Tag,Operating Hours,Operating Days,Travel Time from UTP,Location/Area,Rating
11/25/2025,Restoran Rizqullah,RM5 - RM10,2,13,"Breakfast, Lunch",Yes,"Malay, Nasi Campur",10:00am - 05:00pm,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9,SIBC,5
11/25/2025,Restoran Al-Qawiy,RM5 - RM10,3,15,"Breakfast, Lunch, Dinner",Yes,"Malay, Nasi Campur",06:00am - 10:00pm,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9,SIBC,4
11/25/2025,Nasi Lemak Al-Qowiy,RM5 - RM10,4,10,Dinner,Yes,Malay,06:00pm - 12:00am,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",7,SIBC,3
11/25/2025,MyKori,RM 11- RM15,11,25,"Lunch, Tea Time, Dinner",Yes,"Korean, Japanese, Dessert",12:00pm - 09:00pm,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10,SIBC,4
11/25/2025,Secret Recipe,RM16 - RM20,15,25,"Lunch, Tea Time, Dinner",Yes,"Dessert, Western",11:00am - 10:00pm,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8,Bandar Universiti,3
11/25/2025,Tealive,RM5 - RM10,7,15,"Breakfast, Lunch, Dinner",Yes,Beverage,10:00am - 12:00am,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10,SIBC,4
11/25/2025,Ayam Penyet Best Station,RM 11- RM15,14,20,"Lunch, Dinner",Yes,Indonesian,10:00am - 10:00pm,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8,Bandar Universiti,3
11/25/2025,GIGI Coffee,RM 11- RM15,10,18,"Lunch, Tea Time, Dinner",Yes,Beverage,10:00am - 10:00pm,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8,Bandar Universiti,4
11/25/2025,Restoran Nasi Arab Sana'a,RM 11- RM15,10,20,"Lunch, Dinner",Yes,Arabic,11:00am - 11:00pm,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",8,Bandar Universiti,5
11/25/2025,Nojom Hadramout Restaurant,RM 11- RM15,10,20,"Lunch, Dinner",Yes,Arabic,12:00pm - 12:00am,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",10,SIBC,4
11/25/2025,Roti Canai Sani,RM5 - RM10,3,10,Breakfast,Yes,Malay,07:00am - 11:30am,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",12,SIBC,4
11/25/2025,Rayyan Nasi Kukus,,,,,,,,,,,
